0.021194262,0.0429699,-0.24869029,0.6836907,-0.057181396,0.6824158,-0.2727196,0.42303747,-0.03749233,0.30479008
0.2034259,-0.13425489,-0.07468761,0.4560888,0.11270641,0.1380339,-0.48677918,0.5981333,-0.14020891,-0.1130227
-0.27080587,-0.06769224,0.16413459,-0.45029804,-0.53948194,-0.52844346,0.1378714,0.092154905,0.13495171,-0.07875615
0.33186015,0.2469213,-0.5110162,0.47454602,0.11093185,-0.10781536,-0.35544533,0.3465298,-0.41817346,-0.081691645
0.36953655,0.31515053,-0.44857025,0.6194821,-0.09575728,0.7004409,0.17326276,0.13024937,-0.36217174,0.041859727
-0.53746885,-0.40030116,0.4321514,-0.018396826,-0.47261366,-0.56114686,-0.1217386,-0.524311,0.6495508,-0.035786908
-0.13044919,-0.35451147,0.016863262,0.22648624,-0.2535855,-0.41749483,0.56734556,-0.123595886,-0.16460396,0.19613819
0.5434649,-0.085469894,-0.64901924,0.43102887,-0.09564694,0.58386743,-0.72811043,-0.030768637,-0.35344484,0.3211928
0.28248477,0.1479491,-0.5547051,0.27450728,0.32937834,0.19311677,-0.33620584,0.2088311,-0.3586802,0.050057273
-0.49364266,-0.5606155,0.5681188,-0.009140115,-0.2724042,-0.4589026,0.10381654,-0.38963848,0.73025066,0.025182482
-0.033018015,0.56072193,-0.51576525,0.08207376,0.42630127,0.2618841,-0.7236241,-0.14038883,-0.11839374,0.3256016
0.2403783,0.26022822,-0.53822035,0.129059,0.32063776,-0.083067454,-0.39904854,0.59301704,-0.26447576,0.19519052
-0.385666,0.16268112,0.19529584,-0.64728767,-0.038355257,-0.039826844,0.24976055,-0.16059162,-0.529366,0.19368629
-0.026414912,0.22738607,-0.60072285,-0.11330488,0.098837055,0.31077373,-0.11240899,-0.10745284,0.7093233,-0.25494865
-0.37744266,-0.5623433,0.45694456,0.009478609,0.108219124,-0.57350457,-0.0048245317,-0.35453522,0.5145298,0.25732768
0.2380151,0.14274105,0.0526618,0.15313393,0.43380833,-0.004845324,-0.43744218,0.2874863,0.10137157,-0.15580797
-0.14087026,-0.30244464,0.18179049,-0.16680907,-0.4691803,-0.31851625,0.26109174,-0.54241973,0.521999,0.112970114
-0.005902534,-0.34696734,-0.10299636,-0.60785896,-0.50642776,0.060249142,0.49939266,-0.21350965,0.14691722,-0.059318922
0.37934887,0.3375399,-0.2863749,0.43458864,0.5512001,-0.02253515,-0.106351376,-0.23307079,-0.20448232,-0.20951541
0.11204022,0.5353507,0.08569466,0.43096906,0.56799686,0.16755489,-0.12985091,0.37910202,0.16547403,0.34527093
